"station_id","stationname","date","daytype","rides"
40020,"Harlem-Lake",2022-06-26,"U",1121
40020,"Harlem-Lake",2022-06-27,"W",1697
40020,"Harlem-Lake",2022-06-28,"W",1807
40020,"Harlem-Lake",2022-06-29,"W",1616
40020,"Harlem-Lake",2022-06-30,"W",1808
40030,"Pulaski-Lake",2022-06-01,"W",728
40030,"Pulaski-Lake",2022-06-02,"W",667
40030,"Pulaski-Lake",2022-06-03,"W",794
40030,"Pulaski-Lake",2022-06-04,"A",542
40030,"Pulaski-Lake",2022-06-05,"U",431
40030,"Pulaski-Lake",2022-06-06,"W",672
40030,"Pulaski-Lake",2022-06-07,"W",716
40030,"Pulaski-Lake",2022-06-08,"W",714
40030,"Pulaski-Lake",2022-06-09,"W",719
40030,"Pulaski-Lake",2022-06-10,"W",720
40030,"Pulaski-Lake",2022-06-11,"A",544
40030,"Pulaski-Lake",2022-06-12,"U",414
40030,"Pulaski-Lake",2022-06-13,"W",664
40030,"Pulaski-Lake",2022-06-14,"W",676
40030,"Pulaski-Lake",2022-06-15,"W",676
40030,"Pulaski-Lake",2022-06-16,"W",714
40030,"Pulaski-Lake",2022-06-17,"W",657
40030,"Pulaski-Lake",2022-06-18,"A",521
40030,"Pulaski-Lake",2022-06-19,"U",422
40030,"Pulaski-Lake",2022-06-20,"W",577
40030,"Pulaski-Lake",2022-06-21,"W",683
40030,"Pulaski-Lake",2022-06-22,"W",669
40030,"Pulaski-Lake",2022-06-23,"W",665
40030,"Pulaski-Lake",2022-06-24,"W",697
40030,"Pulaski-Lake",2022-06-25,"A",511
40030,"Pulaski-Lake",2022-06-26,"U",487
40030,"Pulaski-Lake",2022-06-27,"W",740
40030,"Pulaski-Lake",2022-06-28,"W",726
40030,"Pulaski-Lake",2022-06-29,"W",622
40030,"Pulaski-Lake",2022-06-30,"W",690
40040,"Quincy/Wells",2022-06-01,"W",3688
40040,"Quincy/Wells",2022-06-02,"W",3838
40040,"Quincy/Wells",2022-06-03,"W",2520
40040,"Quincy/Wells",2022-06-04,"A",1159
40040,"Quincy/Wells",2022-06-05,"U",1061
40040,"Quincy/Wells",2022-06-06,"W",3057
40040,"Quincy/Wells",2022-06-07,"W",4167
40040,"Quincy/Wells",2022-06-08,"W",3809
40040,"Quincy/Wells",2022-06-09,"W",3969
40040,"Quincy/Wells",2022-06-10,"W",2548
40040,"Quincy/Wells",2022-06-11,"A",1122
40010,"Austin-Forest Park",2022-03-01,"W",672
40010,"Austin-Forest Park",2022-03-02,"W",694
40010,"Austin-Forest Park",2022-03-03,"W",682
40010,"Austin-Forest Park",2022-03-04,"W",647
40010,"Austin-Forest Park",2022-03-05,"A",351
40010,"Austin-Forest Park",2022-03-06,"U",246
40010,"Austin-Forest Park",2022-03-07,"W",590
40010,"Austin-Forest Park",2022-03-08,"W",668
40010,"Austin-Forest Park",2022-03-09,"W",682
40010,"Austin-Forest Park",2022-03-10,"W",679
40010,"Austin-Forest Park",2022-03-11,"W",621
